epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,10283.9,0.50736,0.35201,1.02108,0.96812,0.97597,0.98468,0.9001,0.46952,0.23674,0.98042,0.001684,0.001684,0.001684
170,10344.7,0.49698,0.34839,1.01381,0.96793,0.97594,0.98465,0.9002,0.46953,0.23673,0.98045,0.0016345,0.0016345,0.0016345
171,10405.6,0.5021,0.34366,1.01469,0.96826,0.97593,0.98466,0.90018,0.4693,0.23677,0.9804,0.001585,0.001585,0.001585
172,10466.3,0.50252,0.3517,1.01733,0.96859,0.97617,0.9848,0.90037,0.46931,0.23712,0.9805,0.0015355,0.0015355,0.0015355
173,10527.1,0.49897,0.34324,1.01619,0.96835,0.97587,0.98471,0.90011,0.4693,0.23717,0.98049,0.001486,0.001486,0.001486
174,10587.8,0.49746,0.34766,1.01343,0.96844,0.9758,0.98475,0.90051,0.46921,0.23691,0.98051,0.0014365,0.0014365,0.0014365
175,10648.5,0.49287,0.34076,1.01068,0.96816,0.97564,0.98475,0.90026,0.46917,0.23677,0.98057,0.001387,0.001387,0.001387
176,10709.2,0.49249,0.34231,1.01267,0.96808,0.9756,0.98476,0.90031,0.46899,0.23681,0.98049,0.0013375,0.0013375,0.0013375
177,10770.1,0.49478,0.34329,1.01376,0.96806,0.97564,0.98471,0.90062,0.46905,0.2368,0.98058,0.001288,0.001288,0.001288
178,10831,0.4883,0.3364,1.01121,0.96805,0.97562,0.98473,0.9007,0.46907,0.23702,0.98067,0.0012385,0.0012385,0.0012385
179,10891.6,0.48624,0.33228,1.01117,0.96926,0.97542,0.98471,0.90068,0.469,0.23712,0.98064,0.001189,0.001189,0.001189
180,10952.4,0.49004,0.3363,1.0131,0.97039,0.97392,0.98469,0.90082,0.46892,0.23737,0.9806,0.0011395,0.0011395,0.0011395
181,11013.2,0.47874,0.33064,1.00443,0.96956,0.97547,0.98481,0.90078,0.46881,0.23721,0.98055,0.00109,0.00109,0.00109
